epoch;acc;loss;val_acc;val_loss
0;0.41875;1.097212839126587;0.32499998807907104;1.0947456359863281
1;0.3875;1.0782588481903077;0.32499998807907104;1.0928983688354492
2;0.41875;1.0605815649032593;0.32499998807907104;1.0862871408462524
3;0.4375;1.0361971139907837;0.32499998807907104;1.0877292156219482
4;0.4375;1.0091821908950807;0.375;1.0703730583190918
5;0.5875;0.9794674873352051;0.32499998807907104;1.0623159408569336
6;0.45625;0.9512664079666138;0.32499998807907104;1.0635268688201904
7;0.53125;0.9184529423713684;0.574999988079071;1.0325769186019897
8;0.74375;0.8762422561645508;0.5;1.007960557937622
9;0.775;0.8346894264221192;0.550000011920929;1.005908727645874
0;0.34375;1.0957467079162597;0.375;1.0933759212493896
1;0.4375;1.081219983100891;0.25;1.0923951864242554
2;0.41875;1.0668436527252196;0.375;1.0981965065002441
3;0.43125;1.0574244260787964;0.375;1.0978424549102783
4;0.43125;1.0518229484558106;0.375;1.094839096069336
5;0.49375;1.0455643653869628;0.375;1.1074085235595703
6;0.49375;1.0377108573913574;0.375;1.092149019241333
7;0.5125;1.0279410839080811;0.375;1.0989373922348022
8;0.5;1.0175437927246094;0.375;1.0899708271026611
9;0.56875;1.0146608114242555;0.375;1.087487816810608
0;0.3125;1.1007560729980468;0.4000000059604645;1.0936505794525146
1;0.48125;1.085318422317505;0.375;1.083976149559021
2;0.40625;1.068590235710144;0.375;1.0734014511108398
3;0.5;1.051031267642975;0.4749999940395355;1.0623750686645508
4;0.65;1.0258514881134033;0.4000000059604645;1.0614582300186157
5;0.625;1.000128412246704;0.4000000059604645;1.0570828914642334
6;0.6625;0.9645989179611206;0.375;1.0589447021484375
7;0.5125;0.9505127429962158;0.4000000059604645;1.0479004383087158
8;0.675;0.9008312225341797;0.4749999940395355;1.033281683921814
9;0.71875;0.8651733517646789;0.44999998807907104;1.0333038568496704
0;0.39375;1.0994920253753662;0.4749999940395355;1.0928468704223633
1;0.625;1.061016321182251;0.42500001192092896;1.0297971963882446
2;0.45625;1.013771402835846;0.4749999940395355;0.9930141568183899
3;0.59375;0.9501665472984314;0.550000011920929;1.0063073635101318
4;0.8125;0.9009608864784241;0.625;0.921617329120636
5;0.68125;0.8300154685974122;0.550000011920929;0.9288976788520813
6;0.71875;0.7676950693130493;0.6000000238418579;0.8608748316764832
7;0.7625;0.7175237894058227;0.6000000238418579;0.8821461796760559
8;0.875;0.6457967162132263;0.6000000238418579;0.8769758343696594
9;0.8375;0.5663790464401245;0.574999988079071;0.8126065135002136
0;0.41875;1.0912957668304444;0.699999988079071;1.0506956577301025
1;0.5125;1.0464696884155273;0.3499999940395355;1.0556443929672241
2;0.54375;1.0030292510986327;0.6499999761581421;1.0447323322296143
3;0.75;0.9870606660842896;0.625;1.0033098459243774
4;0.63125;0.920626449584961;0.5;0.9775077700614929
5;0.63125;0.8551330327987671;0.5;0.9777040481567383
6;0.7875;0.8064886450767517;0.6499999761581421;0.930338978767395
7;0.81875;0.7495786190032959;0.5;1.0173695087432861
8;0.775;0.7236854314804078;0.550000011920929;0.9229901432991028
9;0.875;0.6650643825531006;0.4749999940395355;0.9593676328659058
10;0.80625;0.6250837802886963;0.5249999761581421;0.9684001207351685
11;0.825;0.5879219770431519;0.42500001192092896;0.9692088961601257
12;0.85;0.5385306715965271;0.4749999940395355;0.8532425761222839
13;0.89375;0.4654102802276611;0.625;0.8134614825248718
14;0.9375;0.4548003911972046;0.625;0.8002637624740601
15;0.925;0.4017310857772827;0.625;0.7792870402336121
16;0.94375;0.37902969121932983;0.6000000238418579;0.7745208144187927
17;0.94375;0.333845055103302;0.625;0.7741388082504272
18;0.95;0.30253822207450864;0.6000000238418579;0.8064723014831543
19;0.95625;0.2963383734226227;0.6000000238418579;0.7491645812988281
0;0.45625;1.0944087028503418;0.2750000059604645;1.1033589839935303
1;0.45625;1.0699506998062134;0.2750000059604645;1.0987293720245361
2;0.61875;1.0539965629577637;0.30000001192092896;1.1143039464950562
3;0.4875;1.0334933280944825;0.30000001192092896;1.1007004976272583
