epoch;acc;loss;val_acc;val_loss
0;0.6666667;0.6172247290611267;0.6583333611488342;0.6188238263130188
1;0.6916667;0.5387906551361084;0.7250000238418579;0.603259801864624
2;0.82916677;0.4719189167022705;0.7250000238418579;0.5922483205795288
3;0.8520833;0.4274214029312134;0.7083333134651184;0.5827721357345581
4;0.8833334;0.3870285153388977;0.7333332896232605;0.5581427812576294
5;0.9166667;0.35889736413955686;0.7083333730697632;0.5433989763259888
6;0.9291667;0.3227836489677429;0.7083333730697632;0.5424801707267761
7;0.9354167;0.2964555203914642;0.699999988079071;0.5580822229385376
8;0.93125;0.27715219259262086;0.6666666865348816;0.6212528347969055
9;0.9145834;0.28360930681228635;0.6833333373069763;0.553848385810852
